explicit_sentence,pred,explicit_sentence_with_no_stopwords,scores
but many scientists condemned the restrictions saying they were hindering research that could lead to cures for alzheimer s disease diabetes paralysis and other ailments,1,many scientists condemned restrictions saying hindering research could lead cures alzheimer disease diabetes paralysis ailments,"[0.0002597540442366153, 0.0005022775148972869, 0.0008378975326195359, 0.0015794814098626375, 0.0028301093261688948, 0.006317686289548874, 0.01632852479815483, 0.020262721925973892, 0.031631950289011, 0.07381273806095123, 0.09367581456899643, 0.18072111904621124, 0.4172568917274475, 0.7154258489608765, 1.338378667831421]"
the course focuses on the rise and decline of the spanish monarchy the conditions that enabled spain to become the most powerful monarchy in early modern times and the conditions that led to its decline,1,course focuses rise decline spanish monarchy conditions enabled spain become powerful monarchy early modern times conditions led decline,"[2.6987665478372946e-05, 7.912996807135642e-05, 0.00013653296628035605, 1.3442155122756958, 0.0005033122142776847, 0.03486022353172302, 0.28500911593437195, 0.0024068912025541067, 0.004266081843525171, 0.015345343388617039, 0.0182533860206604, 0.03486022353172302, 0.061344586312770844, 0.11712609976530075, 0.2817605137825012, 0.28500911593437195, 0.8597028851509094, 1.3442155122756958]"
others who have studied the pathogen propose that an outbreak resulting from natural causes is more likely,1,others studied pathogen propose outbreak resulting natural causes likely,"[0.010792708024382591, 0.023709671571850777, 0.037907928228378296, 0.08140863478183746, 0.0692446157336235, 0.174401193857193, 0.3296915888786316, 0.5484245419502258, 1.3792928457260132]"
while there are thousands of species of mosquitoes only a small number transmit viruses that can lead to illness or death in humans,1,thousands species mosquitoes small number transmit viruses lead illness death humans,"[0.004757951945066452, 0.008766710758209229, 0.007727025076746941, 0.017166145145893097, 0.05771331116557121, 0.07027493417263031, 0.15055233240127563, 0.1900807023048401, 0.3712027072906494, 0.6242995262145996, 1.576786756515503]"
the likelihood of a chiropractic adjustment causing a stroke is 1 in 5 85 million adjustments,1,likelihood chiropractic adjustment causing stroke 1 5 85 million adjustments,"[0.006317542865872383, 0.011303868144750595, 0.025212330743670464, 0.026944205164909363, 0.0676598772406578, 0.23109620809555054, 0.24437366425991058, 0.30736052989959717, 0.6421583890914917, 1.2850695848464966]"
weakness fatigue and many other vague complaints may be the result of low vitamin d levels,1,weakness fatigue many vague complaints may result low vitamin levels,"[0.007752182427793741, 0.011882515624165535, 0.021689267829060555, 0.04042179882526398, 0.062449365854263306, 0.09802701324224472, 0.2714330852031708, 0.3041765093803406, 0.6455228924751282, 1.6064038276672363]"
as noted in these studies gonadotropins may help in the patients with infertility caused by gonadotropin deficiency only,1,noted studies gonadotropins may help patients infertility caused gonadotropin deficiency,"[0.004336892161518335, 0.011064309626817703, 0.017780069261789322, 0.02918054349720478, 0.04097604379057884, 0.1126311793923378, 0.2360079139471054, 0.322872132062912, 0.6894338726997375, 1.62005615234375]"
laziness is usually associated with procrastination,1,laziness usually associated procrastination,"[0.11189621686935425, 0.30247199535369873, 0.5793301463127136, 0.9948798418045044]"
fibromyalgia which affects more women than men is characterized by widespread pain in muscles ligaments and tendons as well as fatigue and multiple tender points places on the body where slight pressure causes pain,1,fibromyalgia affects women men characterized widespread pain muscles ligaments tendons well fatigue multiple tender points places body slight pressure causes pain,"[1.6299580238410272e-05, 3.711654426297173e-05, 5.3376123105408624e-05, 8.377094491152093e-05, 0.00020132138160988688, 0.00029610126512125134, 1.1563078165054321, 0.0007707664044573903, 0.0009093230473808944, 0.00188749423250556, 0.003382159164175391, 0.00882712285965681, 0.012622497044503689, 0.0197511687874794, 0.04886852577328682, 0.08098049461841583, 0.140940859913826, 0.16350634396076202, 0.24507677555084229, 0.639413595199585, 1.1563078165054321]"
water intoxication leading to hyponatremia is an infrequent but serious adverse event associated with desmopressin,1,water intoxication leading hyponatremia infrequent serious adverse event associated desmopressin,"[0.004968307912349701, 0.007009503431618214, 0.018248287960886955, 0.03874870017170906, 0.06357570737600327, 0.1122598797082901, 0.13373562693595886, 0.35106486082077026, 0.7017090320587158, 1.4147429466247559]"
most deaths were caused by insurgents the report said this was the fifth year in a row the figure rose,1,deaths caused insurgents report said fifth year row figure rose,"[0.004922403022646904, 0.017515795305371284, 0.02187199704349041, 0.02554081752896309, 0.07254787534475327, 0.12457451969385147, 0.15609511733055115, 0.34859466552734375, 0.5939871668815613, 1.3288300037384033]"
an agency s initial efforts under an ergonomics program should be directed toward fixing the most obvious jobs and or addressing the problems that are causing severe pain and injuries to the workers,1,agency initial efforts ergonomics program directed toward fixing obvious jobs addressing problems causing severe pain injuries workers,"[6.19593047304079e-05, 0.00012982779298909009, 0.00024287067935802042, 0.0005673855193890631, 0.0008980436832644045, 0.0015419557457789779, 0.002162571530789137, 0.004087213426828384, 0.008122527040541172, 0.02270217053592205, 0.028495365753769875, 0.047427479177713394, 0.07271325588226318, 0.11813075095415115, 0.2811850905418396, 0.5168665051460266, 1.0467064380645752]"
the detailed analysis concludes that warming temperatures associated with climate change will likely create increasingly dry conditions across much of the globe in the next 30 years possibly reaching a scale in some regions by the end of the century that has rarely if ever been observed in modern times,1,detailed analysis concludes warming temperatures associated climate change likely create increasingly dry conditions across much globe next 30 years possibly reaching scale regions end century rarely ever observed modern times,"[5.6985676621934545e-08, 6.405566210787583e-08, 1.4490015587398375e-07, 2.7116900014334533e-07, 4.288339141567121e-07, 1.1013135008397512e-06, 2.2781350708100945e-06, 3.1566046345687937e-06, 6.190609383338597e-06, 1.022508877213113e-05, 2.061811028397642e-05, 3.562323036021553e-05, 9.819415572565049e-05, 0.0001505644468124956, 0.000260229833656922, 0.0004691506619565189, 0.0005686266231350601, 0.0008909307071007788, 0.0020418441854417324, 0.0033983015455305576, 0.008452110923826694, 0.014099806547164917, 0.037323761731386185, 0.04698360338807106, 0.06642201542854309, 0.1674996018409729, 0.2376834601163864, 0.425912469625473, 0.8142157793045044, 1.3141038417816162]"
when you or a loved one gets behind the wheel of a vehicle you should be able to count on the fact that it has been safely designed and is free from flaws that could result in serious injury or even death,1,loved one gets behind wheel vehicle able count fact safely designed free flaws could result serious injury even death,"[1.6227948435698636e-05, 3.9555456169182435e-05, 7.424575596814975e-05, 0.00011215567064937204, 0.00017290467803832144, 0.000490091391839087, 0.0006074193515814841, 0.0010398515732958913, 0.0018154768040403724, 0.0025949045084416866, 0.009168267250061035, 0.013584574684500694, 0.03190220147371292, 0.03946222364902496, 0.08803434669971466, 0.13666297495365143, 0.5750570893287659, 0.9440620541572571, 1.5729715824127197]"
and since eutrophication can cause low dissolved oxygen which kills fish fisheries are in danger from nutrient pollution,1,since eutrophication cause low dissolved oxygen kills fish fisheries danger nutrient pollution,"[0.0018151458352804184, 0.0030966305639594793, 0.004709807690232992, 0.008898640982806683, 0.015315907076001167, 0.036475710570812225, 0.0490507036447525, 0.08041670173406601, 0.15946350991725922, 0.3321669399738312, 0.578915536403656, 1.381446361541748]"
falls are some of the most common types of construction site accidents and can lead to spinal injuries paralysis broken bones head injuries and death,1,falls common types construction site accidents lead spinal injuries paralysis broken bones head injuries death,"[0.0005323283839970827, 0.0015793339116498828, 0.001958732958883047, 0.004188769031316042, 0.004830298479646444, 0.007585261017084122, 0.010107959620654583, 0.023385731503367424, 1.1113033294677734, 0.07899938523769379, 0.08536162972450256, 0.1954353153705597, 0.3655652105808258, 1.1113033294677734, 1.4952387809753418]"
sometimes infection is caused by poor hygiene surgical procedures or even swimming in polluted water,1,sometimes infection caused poor hygiene surgical procedures even swimming polluted water,"[0.0017105935839936137, 0.004165154881775379, 0.013097335584461689, 0.03456839546561241, 0.029756255447864532, 0.05439045652747154, 0.12187749147415161, 0.2533104717731476, 0.5456955432891846, 0.8904851078987122, 1.2673606872558594]"
generally there would be a preference for ornaments that help in managing the discomfort caused by the heat and if these combine functionality with style and elegance even better,1,generally would preference ornaments help managing discomfort caused heat combine functionality style elegance even better,"[0.0003653222229331732, 0.0008612911333329976, 0.0015602190978825092, 0.0035463206004351377, 0.007590094581246376, 0.01059859711676836, 0.022670384496450424, 0.024572253227233887, 0.02593795768916607, 0.06458869576454163, 0.08157801628112793, 0.22788794338703156, 0.34902074933052063, 0.7004458904266357, 1.1509485244750977]"
many of the behaviors characteristic of autism and many behavior problems associated with learning disabilities may include attempts to manage in spite of a visual system and other systems that fail to provide understandable reliable information,1,many behaviors characteristic autism many behavior problems associated learning disabilities may include attempts manage spite visual system systems fail provide understandable reliable information,"[4.120785160921514e-05, 7.348213785007829e-06, 1.0246402780467179e-05, 1.9228171368013136e-05, 4.120785160921514e-05, 9.215725003741682e-05, 0.00016886375669855624, 0.00018928821373265237, 0.0003313422203063965, 0.000471278588520363, 0.0007522452506236732, 0.0015256970655173063, 0.00304299290291965, 0.0034697300288826227, 0.008252916857600212, 0.009738057851791382, 0.021938083693385124, 0.041341397911310196, 0.06313876062631607, 0.1556423157453537, 0.2528705596923828, 0.4933050274848938, 1.1416678428649902]"
left untreated depression may lead to risky sexual behavior and a downward spiral of emotional behavioral health and even legal and financial problems,1,left untreated depression may lead risky sexual behavior downward spiral emotional behavioral health even legal financial problems,"[8.495601650793105e-05, 0.00016532838344573975, 0.0003333046624902636, 0.00043652483145706356, 0.0007720793364569545, 0.0013855906436219811, 0.003865536767989397, 0.00461884681135416, 0.007628683932125568, 0.010456339456140995, 0.027414517477154732, 0.0731368288397789, 0.1124994158744812, 0.2206982970237732, 0.35373958945274353, 0.49701541662216187, 1.5851590633392334]"
cervical cancer is caused by early marriage multiple partners infections and can be diagnosed early by pap tests,1,cervical cancer caused early marriage multiple partners infections diagnosed early pap tests,"[0.0013230412732809782, 0.0031868908554315567, 0.005063317716121674, 0.46320098638534546, 0.014725729823112488, 0.028256427496671677, 0.05844493210315704, 0.12753571569919586, 0.23478496074676514, 0.46320098638534546, 0.6259077191352844, 1.1223121881484985]"
direct sunlight a weakened immune system and menstruation can also trigger reactivation,1,direct sunlight weakened immune system menstruation also trigger reactivation,"[0.012866482138633728, 0.02296118065714836, 0.04232102632522583, 0.03567551076412201, 0.10140793770551682, 0.1555405706167221, 0.23451557755470276, 0.8535847663879395, 1.4490221738815308]"
public defenders represent both juveniles in delinquency cases and adults on all criminal offenses that could lead to jail time,1,public defenders represent juveniles delinquency cases adults criminal offenses could lead jail time,"[0.0004820236936211586, 0.001272852998226881, 0.002607241738587618, 0.0046981461346149445, 0.008776739239692688, 0.014602990821003914, 0.03358141705393791, 0.0990234911441803, 0.2358877807855606, 0.23693633079528809, 0.496776282787323, 1.1010675430297852, 2.099506378173828]"
there is a strong pressure to force these countries to harmonize their fiscal policies and as it happened in europe economic union will inevitably lead to political union,1,strong pressure force countries harmonize fiscal policies happened europe economic union inevitably lead political union,"[0.00026159349363297224, 0.0003505358472466469, 0.0007426062948070467, 0.0016677642706781626, 0.0030965835321694613, 0.010416700504720211, 0.0121401222422719, 0.017700709402561188, 0.030517341569066048, 0.0592508390545845, 1.4540578126907349, 0.19572408497333527, 0.38492465019226074, 0.7547255158424377, 1.4540578126907349]"
mouth ulcers are caused by a virus which once an infant or an adult if infected lives indefinitely in the cells of his or her mouth,1,mouth ulcers caused virus infant adult infected lives indefinitely cells mouth,"[1.4053443670272827, 0.0040392521768808365, 0.004779445007443428, 0.00858747772872448, 0.014635885134339333, 0.033005714416503906, 0.06750591099262238, 0.36260348558425903, 0.2915341854095459, 0.4848189353942871, 1.4053443670272827]"
such situations will result in confusion and unintended violations of the law,1,situations result confusion unintended violations law,"[0.0613706149160862, 0.08848533034324646, 0.26940879225730896, 0.2922047972679138, 0.5763773918151855, 1.7358840703964233]"
however alcohol consumption may cause liver disease e g cirrhosis cancer high blood pressure alcoholism and at high intake an increased risk of heart disease,1,however alcohol consumption may cause liver disease e g cirrhosis cancer high blood pressure alcoholism high intake increased risk heart disease,"[0.00011085440928582102, 0.0002357618504902348, 0.00031144896638579667, 0.0001718009589239955, 0.00023204604804050177, 0.0010612198384478688, 1.208617091178894, 0.0010348372161388397, 0.0018459322163835168, 0.00343737518414855, 0.006864828057587147, 0.0668630599975586, 0.012799190357327461, 0.01951298862695694, 0.031148284673690796, 0.0668630599975586, 0.14656370878219604, 0.22534330189228058, 0.45463553071022034, 1.2294279336929321, 1.208617091178894]"
this week s tail gate safety topic takes a look at ergonomic concerns in the workplace and what you can do to prevent injuries caused by poor ergonomics,1,week tail gate safety topic takes look ergonomic concerns workplace prevent injuries caused poor ergonomics,"[0.00022103951778262854, 0.00036588383954949677, 0.0009856129763647914, 0.0013103857636451721, 0.0021336639765650034, 0.005794244352728128, 0.005855978466570377, 0.01227228157222271, 0.029620198532938957, 0.04630304127931595, 0.08705542981624603, 0.18008676171302795, 0.3426830768585205, 0.8875925540924072, 1.267007827758789]"
in addition to pain caused by the barbed stinger itself and the venom bacterial infections of the wounds are common and may account for a greater part of the long term problems in stinging victims than the actual venom,1,addition pain caused barbed stinger venom bacterial infections wounds common may account greater part long term problems stinging victims actual venom,"[5.4758529586251825e-06, 7.568181899841875e-06, 1.7024714907165617e-05, 3.117561209364794e-05, 7.261900464072824e-05, 0.9892001748085022, 0.0003414267557673156, 0.00033627101220190525, 0.0010645416332408786, 0.0011425175471231341, 0.001920553157106042, 0.0038302692119032145, 0.006858763284981251, 0.017589351162314415, 0.02236035279929638, 0.03168842941522598, 0.06811587512493134, 0.08045662939548492, 0.18450453877449036, 0.428493469953537, 0.9892001748085022]"
the cast aluminum enclosure deterred malfunction caused by vandalism misuse and abuse,1,cast aluminum enclosure deterred malfunction caused vandalism misuse abuse,"[0.01207924447953701, 0.022165615111589432, 0.04215404763817787, 0.042815547436475754, 0.15272603929042816, 0.17616485059261322, 0.3676146864891052, 0.6484435200691223, 1.286829948425293]"
black molds contain fungus which grow within it and cause allergies,1,black molds contain fungus grow within cause allergies,"[0.008916250430047512, 0.02250402607023716, 0.02013949677348137, 0.05658049136400223, 0.06965500116348267, 0.20840787887573242, 0.4265121519565582, 0.836486279964447]"
the same author has also speculated after medical consultation that the cause of her death may have been a pulmonary embolism,1,author also speculated medical consultation cause death may pulmonary embolism,"[0.0027710606809705496, 0.006875836290419102, 0.00786721333861351, 0.017059214413166046, 0.03364206477999687, 0.05294029414653778, 0.11971208453178406, 0.3005862534046173, 0.5074583292007446, 1.3997317552566528]"
preeclampsia can lead to serious or even life threatening complications for both mother and baby,1,preeclampsia lead serious even life threatening complications mother baby,"[0.010056150145828724, 0.013427089899778366, 0.03464343398809433, 0.0830535739660263, 0.10574273020029068, 0.19472075998783112, 0.5095246434211731, 0.7696990966796875, 1.2971104383468628]"
menopause will exacerbate genetic hair loss which is caused by a testosterone derived hormone called dihydrotesterone or dht,1,menopause exacerbate genetic hair loss caused testosterone derived hormone called dihydrotesterone dht,"[0.0014610359212383628, 0.002880665473639965, 0.005609831772744656, 0.009578559547662735, 0.024970879778265953, 0.03506825864315033, 0.08928628265857697, 0.14005056023597717, 0.4937322437763214, 0.5536000728607178, 0.9114387035369873, 1.5537537336349487]"
insurance policies in north carolina need a minimum of 25 000 in property damage liability to protect property owners and motorists from financial damages caused by an accident,1,insurance policies north carolina need minimum 25 000 property damage liability protect property owners motorists financial damages caused accident,"[5.9711172070819885e-05, 7.586547872051597e-05, 0.00014987301256041974, 0.00024932698579505086, 0.00041552045149728656, 0.000616280478425324, 0.0017111236229538918, 0.0015133304987102747, 0.016273802146315575, 0.004422906786203384, 0.006696032360196114, 0.015991970896720886, 0.016273802146315575, 0.029271986335515976, 0.041287876665592194, 0.1384163796901703, 0.336529403924942, 0.4829670786857605, 1.6962499618530273]"
the e code describes the external cause of injuries leading to death or injury,1,e code describes external cause injuries leading death injury,"[0.009268764406442642, 0.016382994130253792, 0.024606218561530113, 0.033300478011369705, 0.0774519145488739, 0.4038096070289612, 0.23393991589546204, 0.444874107837677, 1.4266571998596191]"
the oxidation may be attributed to the exposure to air and humidity during the transport,1,oxidation may attributed exposure air humidity transport,"[0.031394749879837036, 0.0488978810608387, 0.12333185225725174, 0.2357238382101059, 0.50311678647995, 0.8542388677597046, 1.17709219455719]"
it also helps in reducing the damage caused by the harmful chemicals or heat,1,also helps reducing damage caused harmful chemicals heat,"[0.018974317237734795, 0.039457615464925766, 0.08221203088760376, 0.11140909045934677, 0.2821531891822815, 0.43957850337028503, 0.7067656517028809, 1.0652852058410645]"
these conditions can lead to permanent disability,1,conditions lead permanent disability,"[0.2414739578962326, 0.4120332896709442, 0.8080887198448181, 1.1692135334014893]"
toxoplasmosis is caused by a protozoan parasite that is spread primarily from its prime reservoir the cat,1,toxoplasmosis caused protozoan parasite spread primarily prime reservoir cat,"[0.006267813965678215, 0.011544158682227135, 0.02132943645119667, 0.04007339105010033, 0.0820130780339241, 0.307753324508667, 0.3396189510822296, 0.6846591830253601, 1.0381715297698975]"
high blood sugar can cause blindness heart diseases kidney failure amputations of the limbs and severe nerve damage,1,high blood sugar cause blindness heart diseases kidney failure amputations limbs severe nerve damage,"[0.00041616184171289206, 0.0007654512301087379, 0.0025586874689906836, 0.002206401200965047, 0.007403446361422539, 0.010512015782296658, 0.016757305711507797, 0.028591353446245193, 0.055929724127054214, 0.08182097226381302, 0.18417483568191528, 0.37282297015190125, 0.6871832609176636, 1.2442628145217896]"
the drug may even cause amnesia or blackouts,1,drug may even cause amnesia blackouts,"[0.05408803001046181, 0.06382369995117188, 0.19031968712806702, 0.21543900668621063, 0.5959860682487488, 0.9420384168624878]"
cytomegalovirus adenovirus and toxoplasma gondii toxoplasmosis infections can cause symptoms similar to infectious mononucleosis but a heterophile antibody test will test negative and differentiate those infections from infectious mononucleosis,1,cytomegalovirus adenovirus toxoplasma gondii toxoplasmosis infections cause symptoms similar infectious mononucleosis heterophile antibody test test negative differentiate infections infectious mononucleosis,"[1.3816566934110597e-05, 5.316896204021759e-05, 6.817794928792864e-05, 0.00013932907313574106, 0.000244144321186468, 0.2676964998245239, 0.0006366226589307189, 0.002103193663060665, 0.0030323059763759375, 0.3985120952129364, 1.2103383541107178, 0.02397759258747101, 0.0233851820230484, 0.09900147467851639, 0.09900147467851639, 0.10904322564601898, 0.2185715138912201, 0.2676964998245239, 0.3985120952129364, 1.2103383541107178]"
but unfortunately the manufactured soy protein foods as well as fresh soy foods like tofu and soy milk contain toxins like goitrogens and phytates that can cause health problems in people who eat them more than about once or twice a week,1,unfortunately manufactured soy protein foods well fresh soy foods like tofu soy milk contain toxins like goitrogens phytates cause health problems people eat twice week,"[7.243806066981051e-06, 5.738438630942255e-06, 0.0009397162357345223, 1.773368421709165e-05, 0.00025780629948712885, 4.47572092525661e-05, 7.296537660295144e-05, 0.0009397162357345223, 0.00025780629948712885, 0.005417563021183014, 0.00042627565562725067, 0.0009397162357345223, 0.006264409050345421, 0.001728436560370028, 0.0038793422281742096, 0.005417563021183014, 0.012269282713532448, 0.016138115897774696, 0.03220837190747261, 0.05063996836543083, 0.14130698144435883, 0.2498752474784851, 0.41163644194602966, 1.0501450300216675, 1.0510865449905396]"
if your doctor thinks a heart problem may be the cause of the fainting you may have an electrocardiogram ecg or ekg,1,doctor thinks heart problem may cause fainting may electrocardiogram ecg ekg,"[0.003704216331243515, 0.007142449263483286, 0.012801572680473328, 0.027111198753118515, 0.2507195472717285, 0.06345942616462708, 0.098154217004776, 0.2507195472717285, 0.4463723301887512, 0.9515716433525085, 1.3776086568832397]"
a presentation about nist s response to the disaster claims there is a critical and urgent national need to establish the probable technical causes of the collapses and derive lessons to be learned but prior to the publication of their final report on collapse of the world trade center towers in late 2005 none of the materials on the nist site even mentioned the possibility that the collapses were caused by controlled demolition,1,presentation nist response disaster claims critical urgent national need establish probable technical causes collapses derive lessons learned prior publication final report collapse world trade center towers late 2005 none materials nist site even mentioned possibility collapses caused controlled demolition,"[3.9601430468216847e-10, 0.008780336007475853, 3.068955090057557e-09, 6.3351124346411325e-09, 4.5758468125711715e-09, 7.728317541477736e-09, 1.3401075804608809e-08, 2.3666880011319336e-08, 3.5659628139228516e-08, 9.023516867046055e-08, 6.827083609550755e-08, 1.1843819436307967e-07, 2.2850569791899034e-07, 0.11090943217277527, 4.845970806854893e-07, 1.7163447409984656e-06, 3.132828169327695e-06, 6.3170377870847005e-06, 6.516870143968845e-06, 1.3870936527382582e-05, 2.8773045414709486e-05, 6.505005876533687e-05, 0.00010911412391578779, 0.0003406229370739311, 0.00033237459138035774, 0.0008151703514158726, 0.0009879665449261665, 0.002365994034335017, 0.002514245454221964, 0.004333828575909138, 0.008780336007475853, 0.013833950273692608, 0.027814319357275963, 0.049957044422626495, 0.1006249487400055, 0.11090943217277527, 0.3560798466205597, 0.39215245842933655, 1.3038688898086548]"
there are some deaths due to entanglement in fishing gear but it is unlikely to be very damaging to the species,1,deaths due entanglement fishing gear unlikely damaging species,"[0.021988773718476295, 0.04735549911856651, 0.07774848490953445, 0.11326327919960022, 0.16835695505142212, 0.3106279969215393, 0.6536949276924133, 1.010955810546875]"
because functioning addicts know they are often the last people you would expect to be dependent on drugs they can be even more compelled to hide the dependency due to the social stigma historically associated with drug addiction,1,functioning addicts know often last people would expect dependent drugs even compelled hide dependency due social stigma historically associated drug addiction,"[3.261520396335982e-05, 4.2034203943330795e-05, 7.2734103014227e-05, 0.00014124784502200782, 0.00023536616936326027, 0.0003757071681320667, 0.0007055127061903477, 0.0035215746611356735, 0.00296010822057724, 0.00205012084916234, 0.003523430787026882, 0.007557908538728952, 0.019348526373505592, 0.019153697416186333, 0.02180350013077259, 0.04406321048736572, 0.0708736926317215, 0.17791306972503662, 0.2955162525177002, 0.7756955027580261, 1.3487353324890137]"
thirty nine percent of injuries caused by motorcycle crashes are to the foot and or ankle,1,thirty nine percent injuries caused motorcycle crashes foot ankle,"[0.006244059652090073, 0.01715725287795067, 0.02392195351421833, 0.0906250923871994, 0.1854226142168045, 0.2523154020309448, 0.4045639634132385, 0.7559164762496948, 1.4159059524536133]"
this intention caused confusion which was a reason for gjon kastriot to complain through his envoys in venice,1,intention caused confusion reason gjon kastriot complain envoys venice,"[0.0054829418659210205, 0.008250580169260502, 0.03043799102306366, 0.04860934615135193, 0.09112786501646042, 0.17183172702789307, 0.33165884017944336, 0.6738201379776001, 1.1650705337524414]"
these are desperate times and the lack of water leads to awful political decisions civil unrest and ultimately to war,1,desperate times lack water leads awful political decisions civil unrest ultimately war,"[0.002171511063352227, 0.003825780935585499, 0.008678709156811237, 0.009263768792152405, 0.015903187915682793, 0.03338433802127838, 0.05849550664424896, 0.17503716051578522, 0.1926371157169342, 0.24302814900875092, 0.8220068216323853, 1.3222891092300415]"
the bereans of paul s day were considered noble for their biblical discernment it took eli lilly maker of the 4 billion generating toxic antipsychotic zyprexa 12 years to do what the company should have done when they introduced zyprexa to the public warn patients that the drug is known to cause high cholesterol high blood sugar weight gain and diabetes,1,bereans paul day considered noble biblical discernment took eli lilly maker 4 billion generating toxic antipsychotic zyprexa 12 years company done introduced zyprexa public warn patients drug known cause high cholesterol high blood sugar weight gain diabetes,"[1.079976885698386e-09, 2.0089132579670377e-09, 2.9790825362141504e-09, 8.744179602615532e-09, 1.7537434615633174e-08, 2.9539034329673086e-08, 9.64500586064787e-08, 1.4444185580941848e-07, 3.3535988563926367e-07, 4.681050995714031e-07, 5.163851142242493e-07, 9.728158829602762e-07, 1.5517298379563726e-06, 2.5002300390042365e-06, 5.698517270502634e-06, 1.2610771591425873e-05, 0.0003412737569306046, 1.4688850569655187e-05, 2.9374494260991924e-05, 6.043175744707696e-05, 0.00010530408326303586, 0.00013718445552513003, 0.0003412737569306046, 0.0005847353022545576, 0.0009476883569732308, 0.001339669106528163, 0.0025558576453477144, 0.004056793171912432, 0.006701049394905567, 0.04584166407585144, 0.022025886923074722, 0.04584166407585144, 0.07698217779397964, 0.18487104773521423, 0.21946227550506592, 0.6973556876182556, 1.4352468252182007]"
besides helping these difficult to treat patients quit smoking the drug was very well tolerated and led to a reduction in their negative symptoms of schizophrenia george said,1,besides helping difficult treat patients quit smoking drug well tolerated led reduction negative symptoms schizophrenia george said,"[9.24843770917505e-05, 0.00017455191118642688, 0.00025121605722233653, 0.0008181848097592592, 0.0012545381905511022, 0.0014751709531992674, 0.0023277592845261097, 0.003718708176165819, 0.007748562842607498, 0.013057375326752663, 0.0194158386439085, 0.045225273817777634, 0.07650978118181229, 0.17644216120243073, 0.3931492567062378, 0.5030176639556885, 1.6792707443237305]"
an invasion can be the cause of a war be a part of a larger strategy to end a war or it can constitute an entire war in itself,1,invasion cause war part larger strategy end war constitute entire war,"[0.006469623185694218, 0.014617173932492733, 1.286987543106079, 0.014937750063836575, 0.03380788862705231, 0.06428246945142746, 0.18845704197883606, 1.286987543106079, 0.38708290457725525, 0.6667311191558838, 1.286987543106079]"
prostate enlargement usually causes problems only later in life as it compresses the urethra more tightly impeding urination some symptoms of bph will affect over 50 of men in their 60s growing to 90 of those aged 70 and 80,1,prostate enlargement usually causes problems later life compresses urethra tightly impeding urination symptoms bph affect 50 men 60s growing 90 aged 70 80,"[8.084273758868221e-06, 1.0540151379245799e-05, 1.9890914700226858e-05, 4.257136242813431e-05, 8.740081102587283e-05, 0.0001538552314741537, 0.0003298729134257883, 0.0006586473900824785, 0.0007009164546616375, 0.001878590090200305, 0.002349702874198556, 0.004234380554407835, 0.0050065540708601475, 0.015581315383315086, 0.01818978600203991, 0.035344332456588745, 0.049005988985300064, 0.1198609471321106, 0.21349725127220154, 0.3852013945579529, 0.5218396186828613, 0.9040834903717041, 1.8425043821334839]"
then the first company was liquidated due to financial losses resulting from the floods and delays,1,first company liquidated due financial losses resulting floods delays,"[0.047367922961711884, 0.033571600914001465, 0.08558078110218048, 0.05803479999303818, 0.11150161176919937, 0.2539137899875641, 0.33954566717147827, 0.7177857160568237, 1.6785099506378174]"
carlat has argued that psychiatry has been inconclusive about how and why it works we don t have any direct evidence that depression or anxiety or any psychiatric disorder is due to a deficiency in serotonin because it s very hard to actually measure serotonin from a living brain,1,carlat argued psychiatry inconclusive works direct evidence depression anxiety psychiatric disorder due deficiency serotonin hard actually measure serotonin living brain,"[1.683681330177933e-05, 2.541801950428635e-05, 5.1798750064335763e-05, 7.7592529123649e-05, 0.00020347438112366945, 0.00032182244467549026, 0.0007870412664487958, 0.0013405217323452234, 0.0018876665271818638, 0.0027833282947540283, 0.0072397952899336815, 0.009803608991205692, 0.029444357380270958, 0.34509578347206116, 0.04824919253587723, 0.11526858061552048, 0.19049756228923798, 0.34509578347206116, 0.6996630430221558, 1.7062461376190186]"
by the way broccoli sprouts help manage h pylori bacteria which causes ulcers and stomach cancer,1,way broccoli sprouts help manage h pylori bacteria causes ulcers stomach cancer,"[0.00784235168248415, 0.021446770057082176, 0.029013270512223244, 0.04236419498920441, 0.08141691237688065, 0.10985593497753143, 0.09578650444746017, 0.103915736079216, 0.13456280529499054, 0.41827088594436646, 0.654479444026947, 1.5351780652999878]"
valium can cause drowsiness and giddiness so it is better to avoid hazardous activities like driving or operating machinery during the course of valium treatment,1,valium cause drowsiness giddiness better avoid hazardous activities like driving operating machinery course valium treatment,"[0.7249048948287964, 0.0005193407414481044, 0.0009248048299923539, 0.0027077379636466503, 0.003295330563560128, 0.005592212546616793, 0.007671978324651718, 0.013138684444129467, 0.027944250032305717, 0.05874711647629738, 0.10656841099262238, 0.17894288897514343, 0.307672381401062, 0.7249048948287964, 1.4164175987243652]"
